sentence,gold_terms,term_type,source_dataset,is_single_word,is_multiword
"Got the job today, big W!",W,slang,genz_brainrot_slang,1,0
"I forgot my wallet at home, that’s an L.",L,slang,genz_brainrot_slang,1,0
Your tweet got 5 likes and 100 replies calling you out. L + ratio.,L+ratio,slang,genz_brainrot_slang,0,1
That meme is so dank!,Dank,slang,genz_brainrot_slang,1,0
"That phrase is so cheugy, no one says that anymore.",Cheugy,slang,genz_brainrot_slang,1,0
TFW you finish a big project and can finally relax,TFW,slang,genz_brainrot_slang,1,0
He’s really woke about climate change.,Woke,slang,genz_brainrot_slang,1,0
This new track is a total bop!,Bop,slang,genz_brainrot_slang,1,0
"Look at that smol puppy, it’s adorable!",Smol,slang,genz_brainrot_slang,1,0
"What’s good, fam? Long time no see!",Fam,slang,genz_brainrot_slang,1,0
She really had a glow up since high school.,Glow up,slang,genz_brainrot_slang,0,1
I stan BTS so hard!,Stan,slang,genz_brainrot_slang,1,0
He’s just salty because he lost the game,Salty,slang,genz_brainrot_slang,1,0
I’m just here to sip tea and watch the drama unfold.,Sip tea,slang,genz_brainrot_slang,0,1
His drip today is on point.,Drip,slang,genz_brainrot_slang,1,0
That hidden message in the movie was iconic. IYKYK.,Iykyk,slang,genz_brainrot_slang,1,0
"If you keep talking like that, you’re gonna catch these hands.",Catch these hands,slang,genz_brainrot_slang,0,1
This pizza is bussin’!,Bussin’,slang,genz_brainrot_slang,1,0
Her makeup was snatched at the event.,Snatched,slang,genz_brainrot_slang,1,0
"FFS, why is this meeting taking so long?",Ffs,slang,genz_brainrot_slang,1,0
He’s such an e-boy with those black nails and chains.,e-boy,slang,genz_brainrot_slang,1,0
She’s such an e-girl with her neon eyeliner and platform boots.,e-girl,slang,genz_brainrot_slang,1,0
She wore the same dress as the bride at the wedding? Big yikes.,Big yikes,slang,genz_brainrot_slang,0,1
I’m finna head out.,Finna,slang,genz_brainrot_slang,1,0
"He said he’s a millionaire, but that’s cap.",cap,slang,genz_brainrot_slang,1,0
I high-key love this song.,High-key,slang,genz_brainrot_slang,1,0
"He buys her gifts every day, he’s such a simp.",Simp,slang,genz_brainrot_slang,1,0
"That outfit is so camp, it’s amazing.",Camp,slang,genz_brainrot_slang,1,0
He showed up to the party looking like a whole snack.,Snack,slang,genz_brainrot_slang,1,0
"You’re being way too extra right now, take several seats.",Take several seats,slang,genz_brainrot_slang,0,1
"Sheesh, that’s a lot of money!",Sheesh,slang,genz_brainrot_slang,1,0
This song hits different at night.,Hits different,slang,genz_brainrot_slang,0,1
You want to meet at 6? Bet.,Bet,slang,genz_brainrot_slang,1,0
"That’s the best movie of all time, periodt.",Periodt,slang,genz_brainrot_slang,1,0
She’s living her life like she’s the main character in a movie.,Main character,slang,genz_brainrot_slang,0,1
"Sis, you are killing it in that outfit!",Sis,slang,genz_brainrot_slang,1,0
That meme is sending me!,Sending me,slang,genz_brainrot_slang,0,1
I’m trying to stack up this gaup before the weekend.,Gaup,slang,genz_brainrot_slang,1,0
"That outfit? This ain’t it, chief.","This ain’t it, chief",slang,genz_brainrot_slang,0,1
"She brought a whole suitcase for a weekend trip, she’s so extra.",Extra,slang,genz_brainrot_slang,1,0
Her clapback to that troll was savage.,Clapback,slang,genz_brainrot_slang,1,0
"I’m about to pull up, C me at the club!",@ me,slang,genz_brainrot_slang,1,0
It’s cold asl outside!,Asl,slang,genz_brainrot_slang,1,0
"He doesn’t care what anyone thinks, he’s so based.",Based,slang,genz_brainrot_slang,1,0
He’s big mad because we beat his team last night.,Big mad,slang,genz_brainrot_slang,0,1
What’s your body count?,Body count,slang,genz_brainrot_slang,0,1
We’re going to a boujee restaurant tonight.,Boujee,slang,genz_brainrot_slang,1,0
He was joking about his bussy all night.,Bussy,slang,genz_brainrot_slang,1,0
That performance was so cringe.,Cringe,slang,genz_brainrot_slang,1,0
That joke had me ded.,Ded,slang,genz_brainrot_slang,1,0
Pizza is the best food ever. Facts.,Facts,slang,genz_brainrot_slang,1,0
She had a major glow-up over the summer.,Glow-up,slang,genz_brainrot_slang,1,0
She spilled her drink on her dress and I oop!,I oop,slang,genz_brainrot_slang,0,1
That party was lit!,Lit,slang,genz_brainrot_slang,1,0
"That movie was mid, nothing special.",Mid,slang,genz_brainrot_slang,1,0
Not you eating the last slice of pizza!,Not you,slang,genz_brainrot_slang,0,1
"She’s acting like such an NPC, just going with the flow.",NPC,slang,genz_brainrot_slang,1,0
You don’t understand memes? OK boomer.,OK boomer,slang,genz_brainrot_slang,0,1
"I’m telling you, that was the best movie I’ve ever seen, on god!",On god,slang,genz_brainrot_slang,0,1
"That tweet got ratio’d so bad, more people replied than liked it.",Ratio,slang,genz_brainrot_slang,1,0
"He’s got so much rizz, everyone likes him.",Rizz,slang,genz_brainrot_slang,1,0
I spilled my drink sksksk.,Sksksk,slang,genz_brainrot_slang,1,0
This new track slaps!,Slaps,slang,genz_brainrot_slang,1,0
Why’s he acting so sus all of a sudden?,Sus,slang,genz_brainrot_slang,1,0
"Spill the tea, I need to know what happened!",Tea,slang,genz_brainrot_slang,1,0
"That outfit is fire, she really understood the assignment.",Understood the assignment,slang,genz_brainrot_slang,0,1
Those sneakers are valid!,Valid,slang,genz_brainrot_slang,1,0
Vibe check: Are you good?,Vibe Check,slang,genz_brainrot_slang,0,1
We were just vibing to some music all night.,Vibing,slang,genz_brainrot_slang,1,0
"That performance was amazing, wig!",Wig,slang,genz_brainrot_slang,1,0
Let’s meet at 7. Word,Word,slang,genz_brainrot_slang,1,0
I’m tired af after that workout.,Af,slang,genz_brainrot_slang,1,0
"He solved that puzzle in seconds, big brain moves.",Big brain,slang,genz_brainrot_slang,0,1
"He’s such a Chad, always winning at everything.",Chad,slang,genz_brainrot_slang,1,0
"That car is clapped, it’s falling apart.",Clapped,slang,genz_brainrot_slang,1,0
I waited all day for him to text me back. I’m such a clown.,Clown,slang,genz_brainrot_slang,1,0
"That old tweet was so cringy, I can’t believe I posted that.",Cringy,slang,genz_brainrot_slang,1,0
I have major FOMO after seeing everyone’s vacation pics.,fomo,slang,genz_brainrot_slang,1,0
You’re moving to LA? Fr?,Fr,slang,genz_brainrot_slang,1,0
Let’s meet IRL next week.,IRL,slang,genz_brainrot_slang,1,0
"That woman asked to speak to the manager, total Karen move.",Karen,slang,genz_brainrot_slang,1,0
I’m low key excited about the new movie.,Low key,slang,genz_brainrot_slang,0,1
Beyoncé is such a mom.,Mom,slang,genz_brainrot_slang,1,0
Keanu Reeves is my dad.,Dad,slang,genz_brainrot_slang,1,0
"NGL, that was a tough workout.",NGL,slang,genz_brainrot_slang,1,0
"She’s such a pick me girl, always saying she’s not like other girls.",Pick me girl,slang,genz_brainrot_slang,0,1
"My boss is such a boomer, doesn’t even know how to use Zoom.",Boomer,slang,genz_brainrot_slang,1,0
"You’re sleeping on this new album, it’s so good.",Sleeping on,slang,genz_brainrot_slang,0,1
She was throwing shade at my outfit.,Shade,slang,genz_brainrot_slang,1,0
I was shook when I found out the news.,Shook,slang,genz_brainrot_slang,1,0
You forgot your homework again? Smh.,Smh,slang,genz_brainrot_slang,1,0
"TBH, I didn’t enjoy the party last night.",TBH,slang,genz_brainrot_slang,1,0
"He’s been texting me nonstop, he’s so thirsty.",Thirsty,slang,genz_brainrot_slang,1,0
She posted a total thirst trap on Instagram.,Thirst trap,slang,genz_brainrot_slang,0,1
Yas queen! You’re slaying that outfit!,Yas,slang,genz_brainrot_slang,1,0
"He talks with his mouth full, that gave me the ick.",ick,slang,genz_brainrot_slang,1,0
"Naur, why did you do that?",naur,slang,genz_brainrot_slang,1,0
"Want to grab dinner? Say less, I’m there.",Say less,slang,genz_brainrot_slang,0,1
You’re being so unserious about this important issue.,Unserious,slang,genz_brainrot_slang,1,0
I was gagged when I saw her outfit!,Gagged,slang,genz_brainrot_slang,1,0
"She ate that performance, no crumbs left.",Ate,slang,genz_brainrot_slang,1,0
You won the game? Poggers!,Poggers,slang,genz_brainrot_slang,1,0
"She’s such a Heather, everyone loves her.",Heather,slang,genz_brainrot_slang,1,0
"Everything is Gucci, don’t worry.",Gucci,slang,genz_brainrot_slang,1,0
I’m ready for hot girl summer this year!,Hot girl summer,slang,genz_brainrot_slang,0,1
He’s so sturdy on the dance floor!,Sturdy,slang,genz_brainrot_slang,1,0
You can’t beat the level? Sounds like a skill issue.,Skill issue,slang,genz_brainrot_slang,0,1
That meme is TNTL-worthy!,TNTL,slang,genz_brainrot_slang,1,0
"Sorry, G2G! Talk later!",G2G,slang,genz_brainrot_slang,1,0
"I might move abroad one day, YNK.",YNK,slang,genz_brainrot_slang,1,0
"That joke was hilarious, CSL!",CSL,slang,genz_brainrot_slang,1,0
You bought the same shoes as me? GMTA!,GMTA,slang,genz_brainrot_slang,1,0
"IMO, that movie wasn’t that great.",IMO,slang,genz_brainrot_slang,1,0
"IMOH, this is the best pizza place in town.",IMOH,slang,genz_brainrot_slang,1,0
"You’re fired! JK, I could never fire you.",JK,slang,genz_brainrot_slang,1,0
