score_category,score_column,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
avg gap,average gap,0.0,0.6575342465753424,0.8571428571428571,0.7441860465116279,144,75,24,186,219,168,429,1,1
avg gap,average gap,2.869799,0.6635514018691588,0.8452380952380952,0.7434554973821988,142,72,26,189,214,168,429,0,0
avg gap,average gap,5.178432,0.6649746192893401,0.7797619047619048,0.7178082191780822,131,66,37,195,197,168,429,0,0
avg gap,average gap,5.734511,0.659217877094972,0.7023809523809523,0.6801152737752162,118,61,50,200,179,168,429,0,0
avg gap,average gap,6.147356,0.6832298136645962,0.6547619047619048,0.668693009118541,110,51,58,210,161,168,429,0,0
avg gap,average gap,6.531489,0.7272727272727273,0.6190476190476191,0.6688102893890675,104,39,64,222,143,168,429,0,0
avg gap,average gap,6.816949,0.768,0.5714285714285714,0.6552901023890785,96,29,72,232,125,168,429,0,0
avg gap,average gap,7.180467,0.8130841121495327,0.5178571428571429,0.6327272727272728,87,20,81,241,107,168,429,0,0
avg gap,average gap,7.774529,0.8777777777777778,0.47023809523809523,0.6124031007751938,79,11,89,250,90,168,429,0,0
avg gap,average gap,8.300763,0.9166666666666666,0.39285714285714285,0.55,66,6,102,255,72,168,429,0,0
avg gap,average gap,8.915119,0.9629629629629629,0.30952380952380953,0.4684684684684684,52,2,116,259,54,168,429,0,0
avg gap,average gap,10.124242,1.0,0.21428571428571427,0.35294117647058826,36,0,132,261,36,168,429,0,0
avg gap,average gap,12.356545,1.0,0.10714285714285714,0.19354838709677416,18,0,150,261,18,168,429,0,0
avg gap,average gap,14.884846,1.0,0.005952380952380952,0.011834319526627219,1,0,167,261,1,168,429,0,0
