score_category,score_column,prediction_rule,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
mean_similarity,mean_similarity,mean_similarity <= threshold,0.02145,0.0,0.0,0.0,0,0,144,75,0,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.155403,0.2,0.013888888888888888,0.025974025974025972,2,8,142,67,10,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.228911,0.21052631578947367,0.027777777777777776,0.04907975460122699,4,15,140,60,19,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.248552,0.32142857142857145,0.0625,0.10465116279069768,9,19,135,56,28,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.29269,0.3783783783783784,0.09722222222222222,0.1546961325966851,14,23,130,52,37,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.315511,0.45652173913043476,0.14583333333333334,0.2210526315789474,21,25,123,50,46,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.356898,0.509090909090909,0.19444444444444445,0.2814070351758794,28,27,116,48,55,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.397858,0.484375,0.2152777777777778,0.2980769230769231,31,33,113,42,64,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.43513,0.4657534246575342,0.2361111111111111,0.3133640552995392,34,39,110,36,73,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.482457,0.524390243902439,0.2986111111111111,0.3805309734513274,43,39,101,36,82,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.504217,0.5555555555555556,0.3472222222222222,0.42735042735042733,50,40,94,35,90,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.529251,0.59,0.4097222222222222,0.48360655737704916,59,41,85,34,100,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.555939,0.6055045871559633,0.4583333333333333,0.5217391304347826,66,43,78,32,109,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.59375,0.6134453781512605,0.5069444444444444,0.5551330798479087,73,46,71,29,119,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.60993,0.6328125,0.5625,0.5955882352941176,81,47,63,28,128,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.647793,0.6423357664233577,0.6111111111111112,0.6263345195729536,88,49,56,26,137,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.667436,0.6438356164383562,0.6527777777777778,0.6482758620689656,94,52,50,23,146,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.695655,0.6645161290322581,0.7152777777777778,0.6889632107023412,103,52,41,23,155,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.716497,0.6585365853658537,0.75,0.7012987012987012,108,56,36,19,164,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.739733,0.6473988439306358,0.7777777777777778,0.7066246056782334,112,61,32,14,173,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.765175,0.6538461538461539,0.8263888888888888,0.7300613496932515,119,63,25,12,182,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.78696,0.6596858638743456,0.875,0.7522388059701492,126,65,18,10,191,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.812978,0.665,0.9236111111111112,0.7732558139534884,133,67,11,8,200,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.831644,0.6650717703349283,0.9652777777777778,0.7875354107648725,139,70,5,5,209,144,219,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.930322,0.6559633027522935,0.9930555555555556,0.7900552486187845,143,75,1,0,218,144,219,1,1
