score_category,score_column,prediction_rule,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
mean_similarity,mean_similarity,mean_similarity <= threshold,0.008775,1.0,0.0015174506828528073,0.0030303030303030303,1,0,658,1568,1,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.026601,0.5698924731182796,0.08042488619119878,0.14095744680851063,53,40,606,1528,93,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.075628,0.5698924731182796,0.16084977238239756,0.25088757396449707,106,80,553,1488,186,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.134254,0.5017921146953405,0.212443095599393,0.29850746268656714,140,139,519,1429,279,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.177646,0.46900269541778977,0.26403641881638845,0.3378640776699029,174,197,485,1371,371,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.220012,0.4482758620689655,0.3156297420333839,0.37043633125556547,208,256,451,1312,464,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.248772,0.42190305206463197,0.3566009104704097,0.38651315789473684,235,322,424,1246,557,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.276626,0.4015384615384615,0.3960546282245827,0.39877769289533993,261,389,398,1179,650,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.308653,0.3894878706199461,0.4385432473444613,0.4125624553890079,289,453,370,1115,742,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.344626,0.37005988023952097,0.46889226100151743,0.4136546184738956,309,526,350,1042,835,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.384168,0.35344827586206895,0.4977238239757208,0.4133585381222432,328,600,331,968,928,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.44047,0.3339862879529873,0.5174506828528073,0.405952380952381,341,680,318,888,1021,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.488361,0.31687612208258525,0.5356600910470409,0.39819514946418494,353,761,306,807,1114,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.532314,0.30845771144278605,0.5644916540212443,0.3989276139410188,372,834,287,734,1206,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.575889,0.30484988452655887,0.6009104704097117,0.4044943820224719,396,903,263,665,1299,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.623226,0.30387931034482757,0.6418816388467374,0.4124817162359824,423,969,236,599,1392,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.656359,0.305256064690027,0.6874051593323217,0.4227718152123192,453,1031,206,537,1484,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.690704,0.3037412809131262,0.7268588770864947,0.4284436493738819,479,1098,180,470,1577,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.71959,0.3023952095808383,0.7663125948406677,0.433662516101331,505,1165,154,403,1670,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.746162,0.3011911514463982,0.8057663125948407,0.43848059454995875,531,1232,128,336,1763,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.772295,0.29757412398921834,0.8376327769347496,0.4391408114558472,552,1303,107,265,1855,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.797941,0.2936344969199179,0.8679817905918058,0.4388185654008439,572,1376,87,192,1948,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.828761,0.29446349828515433,0.9119878603945372,0.44518518518518524,601,1440,58,128,2041,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.860651,0.29194001874414244,0.9453717754172989,0.44611528822055135,623,1511,36,57,2134,659,2227,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.959992,0.29604672057502246,1.0,0.4568457538994801,659,1567,0,1,2226,659,2227,1,1
