batch,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
lm_lex_batch_8,0.1627182603827759,0.0567902553691633,0.8940285954583683,0.1067966042095745,1063,17655,126,2639,18718,1189,21483,0,0
lm_lex_batch_8,0.4334338556297024,0.1837606837606837,0.6509671993271657,0.2866135900759118,774,3438,415,16856,4212,1189,21483,0,1
lm_lex_batch_8,0.4426154762511743,0.1872422992966286,0.6492851135407905,0.2906626506024096,772,3351,417,16943,4123,1189,21483,0,0
lm_lex_batch_8,0.4988185214043336,0.1866342648845686,0.6459209419680404,0.2895927601809955,768,3347,421,16947,4115,1189,21483,0,0
lm_lex_batch_8,0.7576303923056518,0.2134353741496598,0.6333052985702271,0.3192707229171083,753,2775,436,17519,3528,1189,21483,0,0
lm_lex_batch_8,0.7966618291597674,0.2118817676324261,0.6089150546677881,0.3143725575336517,724,2693,465,17601,3417,1189,21483,0,0
lm_lex_batch_8,0.8026374143494429,0.5496632996632996,0.5492010092514719,0.5494320572149769,653,535,536,19759,1188,1189,21483,1,0
lm_lex_batch_8,0.9412073294672274,0.5495145631067961,0.4760302775441548,0.5101397025687247,566,464,623,19830,1030,1189,21483,0,0
lm_lex_batch_9,0.1627182603827759,0.05738188448544,0.9090909090909092,0.1079499596448748,1070,17577,107,2079,18647,1177,20833,0,0
lm_lex_batch_9,0.4334338556297024,0.1979320531757754,0.6830926083262532,0.3069288032067189,804,3258,373,16398,4062,1177,20833,0,1
lm_lex_batch_9,0.4426154762511743,0.2008504252126063,0.6822429906542056,0.3103381642512077,803,3195,374,16461,3998,1177,20833,0,0
lm_lex_batch_9,0.4988185214043336,0.2009521423202205,0.6813933729821581,0.3103715170278637,802,3189,375,16467,3991,1177,20833,0,0
lm_lex_batch_9,0.7576303923056518,0.22709049255441,0.6737468139337298,0.3396872992075391,793,2699,384,16957,3492,1177,20833,0,0
lm_lex_batch_9,0.7966618291597674,0.2233948988566403,0.6474086661002549,0.3321708805579773,762,2649,415,17007,3411,1177,20833,0,0
lm_lex_batch_9,0.8026374143494429,0.5603864734299517,0.5913338997451147,0.5754443985117819,696,546,481,19110,1242,1177,20833,1,0
lm_lex_batch_9,0.9412073294672274,0.5650224215246636,0.5352591333899746,0.549738219895288,630,485,547,19171,1115,1177,20833,0,0
lm_lex_batch_10,0.1627182603827759,0.0547634136037177,0.8863247863247863,0.103153287575848,1037,17899,133,2166,18936,1170,21235,0,0
lm_lex_batch_10,0.4334338556297024,0.1879415920866698,0.6820512820512821,0.294682422451994,798,3448,372,16617,4246,1170,21235,0,1
lm_lex_batch_10,0.4426154762511743,0.1924282613937786,0.6820512820512821,0.3001692683844273,798,3349,372,16716,4147,1170,21235,0,0
lm_lex_batch_10,0.4988185214043336,0.1926427879961277,0.6803418803418804,0.3002640513013956,796,3336,374,16729,4132,1170,21235,0,0
lm_lex_batch_10,0.7576303923056518,0.2181161433731592,0.6709401709401709,0.3292094778779618,785,2814,385,17251,3599,1170,21235,0,0
lm_lex_batch_10,0.7966618291597674,0.2157819225251076,0.6427350427350428,0.323093447905478,752,2733,418,17332,3485,1170,21235,0,0
lm_lex_batch_10,0.8026374143494429,0.544264819091609,0.6042735042735042,0.572701498582422,707,592,463,19473,1299,1170,21235,1,0
lm_lex_batch_10,0.9412073294672274,0.5627743634767339,0.5478632478632479,0.5552187093980079,641,498,529,19567,1139,1170,21235,0,0
