batch,score_category,score_column,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
lm_lex_batch_8,avg gap,average gap,0.0,0.1831780284453163,0.6335877862595419,0.2841925052311204,747,3331,432,16855,4078,1179,21365,0,0
lm_lex_batch_8,avg gap,average gap,0.398524,0.1981491562329885,0.6174724342663274,0.3000206058108386,728,2946,451,17240,3674,1179,21365,0,0
lm_lex_batch_8,avg gap,average gap,2.634377,0.2252678008821676,0.6064461407972859,0.3285090742017,715,2459,464,17727,3174,1179,21365,0,0
lm_lex_batch_8,avg gap,average gap,3.903672,0.2490161001788908,0.5903307888040712,0.3502767991947659,696,2099,483,18087,2795,1179,21365,0,0
lm_lex_batch_8,avg gap,average gap,4.805304,0.2703488372093023,0.5521628498727735,0.3629774184555338,651,1757,528,18429,2408,1179,21365,1,1
lm_lex_batch_8,avg gap,average gap,5.61525,0.2876712328767123,0.4809160305343511,0.36,567,1404,612,18782,1971,1179,21365,0,0
lm_lex_batch_8,avg gap,average gap,6.694598,0.3154596100278551,0.3842239185750636,0.3464627151051625,453,983,726,19203,1436,1179,21365,0,0
lm_lex_batch_8,avg gap,average gap,8.248016,0.3128911138923654,0.2120441051738761,0.2527805864509606,250,549,929,19637,799,1179,21365,0,0
lm_lex_batch_8,avg gap,average gap,23.063426,0.0,0.0,0.0,0,1,1179,20185,1,1179,21365,0,0
lm_lex_batch_9,avg gap,average gap,0.0,0.1966221325938996,0.6672369546621043,0.3037383177570094,780,3187,389,16381,3967,1169,20737,0,0
lm_lex_batch_9,avg gap,average gap,1.979279,0.226218787158145,0.65098374679213,0.3357599823516435,761,2603,408,16965,3364,1169,20737,0,0
lm_lex_batch_9,avg gap,average gap,3.699517,0.256864789711505,0.632164242942686,0.3652990608007909,739,2138,430,17430,2877,1169,20737,0,0
lm_lex_batch_9,avg gap,average gap,4.848256,0.2838842975206611,0.5876817792985458,0.3828364446921147,687,1733,482,17835,2420,1169,20737,1,1
lm_lex_batch_9,avg gap,average gap,5.856026,0.3032490974729241,0.5029940119760479,0.3783783783783783,588,1351,581,18217,1939,1169,20737,0,0
lm_lex_batch_9,avg gap,average gap,6.911655,0.3335699077359829,0.4020530367835757,0.3646237393328161,470,939,699,18629,1409,1169,20737,0,0
lm_lex_batch_9,avg gap,average gap,8.444032,0.348051948051948,0.2292557741659538,0.2764311500773594,268,502,901,19066,770,1169,20737,0,0
lm_lex_batch_9,avg gap,average gap,25.543492,0.0,0.0,0.0,0,1,1169,19567,1,1169,20737,0,0
lm_lex_batch_10,avg gap,average gap,0.0,0.1891957956489856,0.6672413793103448,0.2948009902875642,774,3317,386,16656,4091,1160,21133,0,0
lm_lex_batch_10,avg gap,average gap,2.118019,0.2202539120165338,0.6431034482758621,0.3281284363316473,746,2641,414,17332,3387,1160,21133,0,0
lm_lex_batch_10,avg gap,average gap,3.785499,0.2470709855272226,0.618103448275862,0.3530280649926144,717,2185,443,17788,2902,1160,21133,0,0
lm_lex_batch_10,avg gap,average gap,4.91803,0.2678353037097432,0.5663793103448276,0.363686686963742,657,1796,503,18177,2453,1160,21133,1,1
lm_lex_batch_10,avg gap,average gap,5.838427,0.2801833927661742,0.4741379310344827,0.3522254242715338,550,1413,610,18560,1963,1160,21133,0,0
lm_lex_batch_10,avg gap,average gap,6.909613,0.2907551164431898,0.3551724137931034,0.3197516492045014,412,1005,748,18968,1417,1160,21133,0,0
lm_lex_batch_10,avg gap,average gap,8.387036,0.3115384615384615,0.2094827586206896,0.2505154639175257,243,537,917,19436,780,1160,21133,0,0
lm_lex_batch_10,avg gap,average gap,27.798493,1.0,0.0008620689655172,0.0017226528854435,1,0,1159,19973,1,1160,21133,0,0
