batch,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
lm_lex_batch_8,0.1,0.5222551928783383,0.592094196804037,0.5549862041781632,704,644,485,19650,1348,1189,21483,0,1
lm_lex_batch_8,0.2,0.5238095238095238,0.592094196804037,0.5558626135017766,704,640,485,19654,1344,1189,21483,1,0
lm_lex_batch_8,0.3,0.5238095238095238,0.592094196804037,0.5558626135017766,704,640,485,19654,1344,1189,21483,0,0
lm_lex_batch_8,0.4,0.5238095238095238,0.592094196804037,0.5558626135017766,704,640,485,19654,1344,1189,21483,0,0
lm_lex_batch_8,0.5,0.0666666666666666,0.0058873002523128,0.0108191653786707,7,98,1182,20196,105,1189,21483,0,0
lm_lex_batch_8,0.6,0.0,0.0,0.0,0,0,1189,20294,0,1189,21483,0,0
lm_lex_batch_8,0.7,0.0,0.0,0.0,0,0,1189,20294,0,1189,21483,0,0
lm_lex_batch_9,0.1,0.5404224326292789,0.6304163126593033,0.5819607843137254,742,631,435,19025,1373,1177,20833,0,1
lm_lex_batch_9,0.2,0.5416058394160584,0.6304163126593033,0.5826462504907735,742,628,435,19028,1370,1177,20833,1,0
lm_lex_batch_9,0.3,0.5416058394160584,0.6304163126593033,0.5826462504907735,742,628,435,19028,1370,1177,20833,0,0
lm_lex_batch_9,0.4,0.5416058394160584,0.6304163126593033,0.5826462504907735,742,628,435,19028,1370,1177,20833,0,0
lm_lex_batch_9,0.5,0.0517241379310344,0.0025488530161427,0.0048582995951417,3,55,1174,19601,58,1177,20833,0,0
lm_lex_batch_9,0.6,0.0,0.0,0.0,0,0,1177,19656,0,1177,20833,0,0
lm_lex_batch_9,0.7,0.0,0.0,0.0,0,0,1177,19656,0,1177,20833,0,0
lm_lex_batch_10,0.1,0.5165876777251185,0.6521367521367522,0.5765017000377787,763,714,407,19351,1477,1170,21235,0,1
lm_lex_batch_10,0.2,0.5176390773405699,0.6521367521367522,0.5771558245083208,763,711,407,19354,1474,1170,21235,1,0
lm_lex_batch_10,0.3,0.5176390773405699,0.6521367521367522,0.5771558245083208,763,711,407,19354,1474,1170,21235,0,0
lm_lex_batch_10,0.4,0.5176390773405699,0.6521367521367522,0.5771558245083208,763,711,407,19354,1474,1170,21235,0,0
lm_lex_batch_10,0.5,0.0404040404040404,0.0034188034188034,0.0063041765169424,4,95,1166,19970,99,1170,21235,0,0
lm_lex_batch_10,0.6,0.0,0.0,0.0,0,1,1170,20064,1,1170,21235,0,0
lm_lex_batch_10,0.7,0.0,0.0,0.0,0,1,1170,20064,1,1170,21235,0,0
