score_category,score_column,prediction_rule,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
mean_similarity,mean_similarity,mean_similarity <= threshold,0.008731,1.0,0.0010741138560687433,0.002145922746781116,1,0,930,5634,1,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.030698,0.3284671532846715,0.0966702470461869,0.14937759336099585,90,184,841,5450,274,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.084119,0.2943327239488117,0.17293233082706766,0.21786197564276047,161,386,770,5248,547,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.138952,0.2630937880633374,0.23200859291084855,0.24657534246575344,216,605,715,5029,821,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.175352,0.2340036563071298,0.2749731471535983,0.2528395061728395,256,838,675,4796,1094,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.210033,0.2273391812865497,0.33404940923737914,0.2705524140930839,311,1057,620,4577,1368,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.242071,0.21511273613650214,0.3791621911922664,0.2744945567651633,353,1288,578,4346,1641,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.270666,0.20261096605744125,0.4167561761546724,0.27266338721011946,388,1527,543,4107,1915,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.299609,0.1936957514846962,0.45542427497314714,0.2717948717948717,424,1765,507,3869,2189,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.329995,0.19244823386114496,0.5091299677765844,0.2793164407778433,474,1989,457,3645,2463,931,6565,1,1
mean_similarity,mean_similarity,mean_similarity <= threshold,0.371028,0.18244972577696528,0.5359828141783028,0.2722313147845063,499,2236,432,3398,2735,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.40589,0.1758059155865736,0.5682062298603652,0.2685279187817259,529,2480,402,3154,3009,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.443414,0.17240328967407859,0.6079484425349087,0.2686283815851922,566,2717,365,2917,3283,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.481502,0.16676040494938132,0.6369495166487648,0.2643191441943392,593,2963,338,2671,3556,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.518313,0.1650130548302872,0.6788399570354458,0.265490443184205,632,3198,299,2436,3830,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.550016,0.1625639775773824,0.7164339419978518,0.2649980135081446,667,3436,264,2198,4103,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.583158,0.15813528336380256,0.7432867883995704,0.26078763896740154,692,3684,239,1950,4376,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.618388,0.15591397849462366,0.7787325456498388,0.2598100698799498,725,3925,206,1709,4650,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.655885,0.15295551492992077,0.8088077336197637,0.2572599931670652,753,4170,178,1464,4923,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.688577,0.14931691360400232,0.8335123523093448,0.25326370757180156,776,4421,155,1213,5197,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.722219,0.14823615426795833,0.8711063372717508,0.253358325523274,811,4660,120,974,5471,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.755422,0.14763231197771587,0.9108485499462943,0.2540823970037453,848,4896,83,738,5744,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.789979,0.14440013293452975,0.9334049409237379,0.2501079291984458,869,5149,62,485,6018,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.833378,0.14258464473056748,0.9634801288936627,0.24840764331210194,897,5394,34,240,6291,931,6565,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.966587,0.14183424741011577,1.0,0.24843228819212806,931,5633,0,1,6564,931,6565,0,0
