batch,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
medslangbert_batch_0,0.1627182603827759,0.0213856391542341,0.8442796610169492,0.0417146446142573,797,36471,147,1258,37268,944,38673,0,0
medslangbert_batch_0,0.4334338556297024,0.1465812943059684,0.6790254237288136,0.2411134098175663,641,3732,303,33997,4373,944,38673,0,1
medslangbert_batch_0,0.4426154762511743,0.1480691779199242,0.6620762711864406,0.2420135527589545,625,3596,319,34133,4221,944,38673,0,0
medslangbert_batch_0,0.4988185214043336,0.1481042654028436,0.6620762711864406,0.2420604182804028,625,3595,319,34134,4220,944,38673,0,0
medslangbert_batch_0,0.7576303923056518,0.1593478832500657,0.6419491525423728,0.2553191489361702,606,3197,338,34532,3803,944,38673,0,0
medslangbert_batch_0,0.7966618291597674,0.1541141785044224,0.6091101694915254,0.2459893048128342,575,3156,369,34573,3731,944,38673,0,0
medslangbert_batch_0,0.8026374143494429,0.5858585858585859,0.3686440677966102,0.4525357607282185,348,246,596,37483,594,944,38673,1,0
medslangbert_batch_0,0.9412073294672274,0.5921985815602837,0.3538135593220339,0.4429708222811671,334,230,610,37499,564,944,38673,0,0
medslangbert_batch_1,0.1627182603827759,0.0273063533507397,0.8916518650088809,0.0529899192484298,1004,35764,122,1037,36768,1126,37927,0,0
medslangbert_batch_1,0.4334338556297024,0.1889400921658986,0.6918294849023091,0.2968184416079253,779,3344,347,33457,4123,1126,37927,0,1
medslangbert_batch_1,0.4426154762511743,0.1915211970074813,0.6820603907637656,0.2990654205607476,768,3242,358,33559,4010,1126,37927,0,0
medslangbert_batch_1,0.4988185214043336,0.1913195310551259,0.6811722912966253,0.2987341772151899,767,3242,359,33559,4009,1126,37927,0,0
medslangbert_batch_1,0.7576303923056518,0.2060204363435515,0.6625222024866785,0.3143037708026122,746,2875,380,33926,3621,1126,37927,0,0
medslangbert_batch_1,0.7966618291597674,0.2026308424293311,0.6429840142095915,0.3081506703553948,724,2849,402,33952,3573,1126,37927,0,0
medslangbert_batch_1,0.8026374143494429,0.7045123726346434,0.4298401420959147,0.5339216767788196,484,203,642,36598,687,1126,37927,1,0
medslangbert_batch_1,0.9412073294672274,0.7075038284839203,0.4103019538188277,0.5193929173693086,462,191,664,36610,653,1126,37927,0,0
medslangbert_batch_2,0.1627182603827759,0.0235294117647058,0.8579881656804734,0.0458027323698965,870,36105,144,1150,36975,1014,38269,0,0
medslangbert_batch_2,0.4334338556297024,0.1591170383996321,0.6824457593688363,0.2580645161290322,692,3657,322,33598,4349,1014,38269,0,1
medslangbert_batch_2,0.4426154762511743,0.16049091338211,0.6706114398422091,0.2589982860407541,680,3557,334,33698,4237,1014,38269,0,0
medslangbert_batch_2,0.4988185214043336,0.16049091338211,0.6706114398422091,0.2589982860407541,680,3557,334,33698,4237,1014,38269,0,0
medslangbert_batch_2,0.7576303923056518,0.17276529012023,0.6518737672583826,0.2731404958677686,661,3165,353,34090,3826,1014,38269,0,0
medslangbert_batch_2,0.7966618291597674,0.1670650730411686,0.6203155818540433,0.2632349863988282,629,3136,385,34119,3765,1014,38269,0,0
medslangbert_batch_2,0.8026374143494429,0.5746031746031746,0.3570019723865877,0.4403892944038929,362,268,652,36987,630,1014,38269,1,0
medslangbert_batch_2,0.9412073294672274,0.5808080808080808,0.3402366863905325,0.4291044776119403,345,249,669,37006,594,1014,38269,0,0
medslangbert_batch_3,0.1627182603827759,0.0232820230896096,0.8504016064257028,0.0453232020547945,847,35533,149,1039,36380,996,37568,0,0
medslangbert_batch_3,0.4334338556297024,0.1519305460360978,0.6676706827309237,0.2475339661269309,665,3712,331,32860,4377,996,37568,0,1
medslangbert_batch_3,0.4426154762511743,0.1542440630143428,0.6586345381526104,0.2499523718803581,656,3597,340,32975,4253,996,37568,0,0
medslangbert_batch_3,0.4988185214043336,0.154153918569075,0.6576305220883534,0.2497616777883698,655,3594,341,32978,4249,996,37568,0,0
medslangbert_batch_3,0.7576303923056518,0.1627667780920545,0.6355421686746988,0.2591606960081883,633,3256,363,33316,3889,996,37568,0,0
medslangbert_batch_3,0.7966618291597674,0.1584442704254763,0.6094377510040161,0.2515019680961259,607,3224,389,33348,3831,996,37568,0,0
medslangbert_batch_3,0.8026374143494429,0.561014263074485,0.3554216867469879,0.4351567301782421,354,277,642,36295,631,996,37568,1,0
medslangbert_batch_3,0.9412073294672274,0.5764705882352941,0.3443775100401606,0.4311753614079195,343,252,653,36320,595,996,37568,0,0
