batch,score_category,score_column,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
medslangbert_batch_0,avg gap,average gap,0.0,0.1443965517241379,0.6782902137232846,0.2381046396841066,603,3573,286,33985,4176,889,38447,0,0
medslangbert_batch_0,avg gap,average gap,1.898762,0.225311203319502,0.6107986501687289,0.3291906638375265,543,1867,346,35691,2410,889,38447,0,0
medslangbert_batch_0,avg gap,average gap,4.838156,0.3216195569136745,0.4735658042744657,0.3830755232029117,421,888,468,36670,1309,889,38447,1,1
medslangbert_batch_0,avg gap,average gap,28.1829,0.0,0.0,0.0,0,0,889,37558,0,889,38447,0,0
medslangbert_batch_1,avg gap,average gap,0.0,0.1893520843797086,0.6911090742438131,0.2972600039424404,754,3228,337,33442,3982,1091,37761,0,0
medslangbert_batch_1,avg gap,average gap,1.691093,0.2813905930470348,0.6306141154903758,0.3891402714932127,688,1757,403,34913,2445,1091,37761,0,0
medslangbert_batch_1,avg gap,average gap,4.784699,0.4290099769762087,0.5123739688359303,0.467000835421888,559,744,532,35926,1303,1091,37761,1,1
medslangbert_batch_1,avg gap,average gap,21.040622,0.0,0.0,0.0,0,0,1091,36670,0,1091,37761,0,0
medslangbert_batch_2,avg gap,average gap,0.0,0.1554391811473458,0.6718106995884774,0.2524647206649912,653,3548,319,33599,4201,972,38119,0,0
medslangbert_batch_2,avg gap,average gap,1.969279,0.234981610134859,0.5915637860082305,0.3363556595495759,575,1872,397,35275,2447,972,38119,0,0
medslangbert_batch_2,avg gap,average gap,4.826577,0.3287566742944317,0.4434156378600823,0.3775733683749452,431,880,541,36267,1311,972,38119,1,1
medslangbert_batch_2,avg gap,average gap,21.794063,0.0,0.0,0.0,0,1,972,37146,1,972,38119,0,0
medslangbert_batch_3,avg gap,average gap,0.0,0.1519829019235336,0.6715634837355718,0.2478698683191325,640,3571,313,32849,4211,953,37373,0,0
medslangbert_batch_3,avg gap,average gap,2.032428,0.2406262875978574,0.6128016789087093,0.3455621301775148,584,1843,369,34577,2427,953,37373,0,0
medslangbert_batch_3,avg gap,average gap,4.776225,0.3425499231950845,0.4679958027282266,0.3955654101995566,446,856,507,35564,1302,953,37373,1,1
medslangbert_batch_3,avg gap,average gap,21.416283,0.0,0.0,0.0,0,1,953,36419,1,953,37373,0,0
