batch,score_category,score_column,prediction_rule,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.008794,0.0,0.0,0.0,0,1,789,4993,1,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.073751,0.2406639004149377,0.0735107731305449,0.1126213592233009,58,183,731,4811,241,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.149797,0.2033195020746888,0.1242078580481622,0.1542092840283241,98,384,691,4610,482,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.19956,0.1936376210235131,0.1774397972116603,0.1851851851851851,140,583,649,4411,723,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.235291,0.187759336099585,0.229404309252218,0.2065031374786081,181,783,608,4211,964,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.264212,0.1908713692946058,0.2915082382762991,0.230692076228686,230,975,559,4019,1205,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.298611,0.1798063623789765,0.329531051964512,0.232662192393736,260,1186,529,3808,1446,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.336995,0.1730883224659158,0.3700887198986058,0.2358642972536348,292,1395,497,3599,1687,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.378695,0.1685684647302904,0.41191381495564,0.2392344497607655,325,1603,464,3391,1928,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.417752,0.1599815583218072,0.4397972116603295,0.2346179851250845,347,1822,442,3172,2169,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.457851,0.1601659751037344,0.4892268694550063,0.241325414191935,386,2024,403,2970,2410,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.491602,0.1550358355337608,0.5209125475285171,0.238953488372093,411,2240,378,2754,2651,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.524312,0.1538727524204702,0.5640050697084917,0.2417821244227112,445,2447,344,2547,2892,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.553289,0.1519795657726692,0.6032953105196451,0.2427952053047692,476,2656,313,2338,3132,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.582651,0.150607767565965,0.6438529784537389,0.2441134070158577,508,2865,281,2129,3373,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.609558,0.1483121195351411,0.679340937896071,0.2434703611174199,536,3078,253,1916,3614,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.633039,0.1486381322957198,0.7262357414448669,0.2467700258397932,573,3282,216,1712,3855,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.656009,0.14892578125,0.7731305449936628,0.2497441146366427,610,3486,179,1508,4096,789,5783,1,1
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.676521,0.1470723835869064,0.8086185044359949,0.2488784864443144,638,3700,151,1294,4338,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.702391,0.145478374836173,0.844106463878327,0.2481833426495249,666,3912,123,1082,4578,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.726302,0.1435982568997717,0.8770595690747782,0.2467902995720399,692,4127,97,867,4819,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.755097,0.142094861660079,0.9112801013941698,0.2458539921354078,719,4341,70,653,5060,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.793872,0.1407281644972646,0.9455006337135616,0.244991789819376,746,4555,43,439,5301,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.841328,0.1398412125586431,0.982256020278834,0.2448270415416206,775,4767,14,227,5542,789,5783,0,0
medslangbert_batch_0,mean_similarity,mean_similarity,mean_similarity <= threshold,0.957949,0.1364343766211309,1.0,0.2401095556908095,789,4994,0,0,5783,789,5783,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.00869,1.0,0.0011098779134295,0.0022172949002217,1,0,900,4389,1,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.083305,0.3529411764705882,0.0865704772475027,0.1390374331550802,78,143,823,4246,221,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.152425,0.3015873015873015,0.1476137624861265,0.1982116244411326,133,308,768,4081,441,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.198555,0.2809667673716012,0.2064372918978912,0.2380038387715931,186,476,715,3913,662,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.232164,0.2664399092970521,0.2608213096559378,0.263600673022995,235,647,666,3742,882,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.261925,0.2622504537205081,0.320754716981132,0.2885671492760858,289,813,612,3576,1102,901,5290,0,0
