score_category,score_column,prediction_rule,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
mean_similarity,mean_similarity,mean_similarity <= threshold,0.008669,1.0,0.0012285012285012285,0.00245398773006135,1,0,813,4757,1,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.078538,0.2918454935622318,0.08353808353808354,0.12989493791786055,68,165,746,4592,233,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.148195,0.24731182795698925,0.14127764127764128,0.17982799061767005,115,350,699,4407,465,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.199386,0.23672883787661406,0.20270270270270271,0.2183984116479153,165,532,649,4225,697,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.234659,0.23358449946178686,0.2665847665847666,0.248995983935743,217,712,597,4045,929,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.265115,0.2351421188630491,0.3353808353808354,0.27645569620253163,273,888,541,3869,1161,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.305606,0.2290021536252692,0.3918918918918919,0.28908019936565477,319,1074,495,3683,1393,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.34301,0.21846153846153846,0.43611793611793614,0.2911029110291103,355,1270,459,3487,1625,814,5571,1,1
mean_similarity,mean_similarity,mean_similarity <= threshold,0.382555,0.20570813139472266,0.4692874692874693,0.286035192811681,382,1475,432,3282,1857,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.422833,0.20057443752991863,0.5147420147420148,0.28866689631415776,419,1670,395,3087,2089,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.46311,0.1943127962085308,0.5540540540540541,0.28771929824561404,451,1870,363,2887,2321,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.49858,0.18566392479435959,0.5823095823095823,0.2815562815562816,474,2079,340,2678,2553,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.530941,0.18025134649910232,0.6167076167076168,0.2789663795498749,502,2283,312,2474,2785,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.559097,0.1756129887342611,0.6511056511056511,0.2766179540709812,530,2488,284,2269,3018,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.587456,0.17261538461538461,0.6891891891891891,0.27608267716535434,561,2689,253,2068,3250,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.611665,0.1697300402067777,0.726044226044226,0.2751396648044692,591,2891,223,1866,3482,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.634133,0.16612816370490038,0.757985257985258,0.27252650176678445,617,3097,197,1660,3714,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.657567,0.16366860907017988,0.7936117936117936,0.27137156059651335,646,3301,168,1456,3947,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.678968,0.16084250837721398,0.8255528255528255,0.2692307692307692,672,3506,142,1251,4178,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.704285,0.1580498866213152,0.8562653562653563,0.2668453292496171,697,3713,117,1044,4410,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.728111,0.1533161068044789,0.8746928746928747,0.2609014290949066,712,3932,102,825,4644,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.75975,0.15141567501025852,0.9066339066339066,0.259493670886076,738,4136,76,621,4874,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.794771,0.1498237367802585,0.9398034398034398,0.2584459459459459,765,4341,49,416,5106,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.840652,0.14837017609591607,0.972972972972973,0.2574772431729519,792,4546,22,211,5338,814,5571,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.969543,0.14611380362591994,1.0,0.25497259201252936,814,4757,0,0,5571,814,5571,0,0
