batch,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
polish_youth_slang_batch_15,0.1627182603827759,0.0584476875045378,0.9571938168846612,0.1101683317366908,805,12968,36,3396,13773,841,17205,1,0
polish_youth_slang_batch_15,0.4334338556297024,0.0720640569395017,0.0963139120095124,0.082442748091603,81,1043,760,15321,1124,841,17205,0,1
polish_youth_slang_batch_15,0.4426154762511743,0.077069457659372,0.0963139120095124,0.0856236786469344,81,970,760,15394,1051,841,17205,0,0
polish_youth_slang_batch_15,0.4988185214043336,0.0765253360910031,0.0879904875148632,0.081858407079646,74,893,767,15471,967,841,17205,0,0
polish_youth_slang_batch_15,0.7576303923056518,0.086021505376344,0.0856123662306777,0.0858164481525625,72,765,769,15599,837,841,17205,0,0
polish_youth_slang_batch_15,0.7966618291597674,0.0959595959595959,0.0677764565992865,0.0794425087108013,57,537,784,15827,594,841,17205,0,0
polish_youth_slang_batch_15,0.8026374143494429,0.1063348416289592,0.0558858501783591,0.0732657833203429,47,395,794,15969,442,841,17205,0,0
polish_youth_slang_batch_15,0.9412073294672274,0.1035598705501618,0.0380499405469678,0.0556521739130434,32,277,809,16087,309,841,17205,0,0
polish_youth_slang_batch_16,0.1627182603827759,0.0558614207063246,0.9563218390804598,0.1055569652372494,832,14062,38,4634,14894,870,19566,1,0
polish_youth_slang_batch_16,0.4334338556297024,0.0641711229946524,0.096551724137931,0.0770995869664984,84,1225,786,17471,1309,870,19566,0,1
polish_youth_slang_batch_16,0.4426154762511743,0.0668841761827079,0.0942528735632183,0.0782442748091603,82,1144,788,17552,1226,870,19566,0,0
polish_youth_slang_batch_16,0.4988185214043336,0.066130473637176,0.0850574712643678,0.0744092508798391,74,1045,796,17651,1119,870,19566,0,0
polish_youth_slang_batch_16,0.7576303923056518,0.0732714138286893,0.0816091954022988,0.077215878194671,71,898,799,17798,969,870,19566,0,0
polish_youth_slang_batch_16,0.7966618291597674,0.0805755395683453,0.064367816091954,0.0715654952076677,56,639,814,18057,695,870,19566,0,0
polish_youth_slang_batch_16,0.8026374143494429,0.0802919708029197,0.0505747126436781,0.0620592383638928,44,504,826,18192,548,870,19566,0,0
polish_youth_slang_batch_16,0.9412073294672274,0.0842696629213483,0.0344827586206896,0.0489396411092985,30,326,840,18370,356,870,19566,0,0
polish_youth_slang_batch_17,0.1627182603827759,0.0574798854493386,0.9546998867497168,0.1084314103800887,843,13823,40,4128,14666,883,18834,1,0
polish_youth_slang_batch_17,0.4334338556297024,0.073015873015873,0.1041902604756511,0.0858609426038264,92,1168,791,16783,1260,883,18834,0,1
polish_youth_slang_batch_17,0.4426154762511743,0.0766638584667228,0.1030577576443941,0.0879227053140096,91,1096,792,16855,1187,883,18834,0,0
polish_youth_slang_batch_17,0.4988185214043336,0.0765765765765765,0.0962627406568516,0.0852985449071751,85,1025,798,16926,1110,883,18834,0,0
polish_youth_slang_batch_17,0.7576303923056518,0.0827300930713547,0.0906002265005662,0.0864864864864864,80,887,803,17064,967,883,18834,0,0
polish_youth_slang_batch_17,0.7966618291597674,0.0946502057613168,0.0781426953567383,0.0856079404466501,69,660,814,17291,729,883,18834,0,0
polish_youth_slang_batch_17,0.8026374143494429,0.0949913644214162,0.0622876557191393,0.0752393980848153,55,524,828,17427,579,883,18834,0,0
polish_youth_slang_batch_17,0.9412073294672274,0.0979381443298969,0.0430351075877689,0.059795436664044,38,350,845,17601,388,883,18834,0,0
