batch,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
polish_youth_slang_batch_15,0.1,0.0916380297823596,0.0951248513674197,0.0933488914819136,80,793,761,15571,873,841,17205,1,1
polish_youth_slang_batch_15,0.2,0.0916380297823596,0.0951248513674197,0.0933488914819136,80,793,761,15571,873,841,17205,0,0
polish_youth_slang_batch_15,0.3,0.0896551724137931,0.0927467300832342,0.0911747516072472,78,792,763,15572,870,841,17205,0,0
polish_youth_slang_batch_15,0.4,0.0896551724137931,0.0927467300832342,0.0911747516072472,78,792,763,15572,870,841,17205,0,0
polish_youth_slang_batch_15,0.5,0.0625,0.0011890606420927,0.0023337222870478,1,15,840,16349,16,841,17205,0,0
polish_youth_slang_batch_15,0.6,0.3333333333333333,0.0011890606420927,0.0023696682464454,1,2,840,16362,3,841,17205,0,0
polish_youth_slang_batch_15,0.7,0.3333333333333333,0.0011890606420927,0.0023696682464454,1,2,840,16362,3,841,17205,0,0
polish_youth_slang_batch_16,0.1,0.0688705234159779,0.0862068965517241,0.0765696784073506,75,1014,795,17682,1089,870,19566,1,1
polish_youth_slang_batch_16,0.2,0.0688705234159779,0.0862068965517241,0.0765696784073506,75,1014,795,17682,1089,870,19566,0,0
polish_youth_slang_batch_16,0.3,0.0682656826568265,0.0850574712643678,0.0757420675537359,74,1010,796,17686,1084,870,19566,0,0
polish_youth_slang_batch_16,0.4,0.0682656826568265,0.0850574712643678,0.0757420675537359,74,1010,796,17686,1084,870,19566,0,0
polish_youth_slang_batch_16,0.5,0.064516129032258,0.0022988505747126,0.004439511653718,2,29,868,18667,31,870,19566,0,0
polish_youth_slang_batch_16,0.6,0.0,0.0,0.0,0,4,870,18692,4,870,19566,0,0
polish_youth_slang_batch_16,0.7,0.0,0.0,0.0,0,4,870,18692,4,870,19566,0,0
polish_youth_slang_batch_17,0.1,0.0753968253968253,0.0860702151755379,0.0803807509254362,76,932,807,17019,1008,883,18834,0,1
polish_youth_slang_batch_17,0.2,0.0753968253968253,0.0860702151755379,0.0803807509254362,76,932,807,17019,1008,883,18834,0,0
polish_youth_slang_batch_17,0.3,0.0757726819541375,0.0860702151755379,0.080593849416755,76,927,807,17024,1003,883,18834,1,0
polish_youth_slang_batch_17,0.4,0.0757726819541375,0.0860702151755379,0.080593849416755,76,927,807,17024,1003,883,18834,0,0
polish_youth_slang_batch_17,0.5,0.0,0.0,0.0,0,35,883,17916,35,883,18834,0,0
polish_youth_slang_batch_17,0.6,0.0,0.0,0.0,0,8,883,17943,8,883,18834,0,0
polish_youth_slang_batch_17,0.7,0.0,0.0,0.0,0,8,883,17943,8,883,18834,0,0
