score_category,score_column,prediction_rule,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
mean_similarity,mean_similarity,mean_similarity <= threshold,0.008706,0.0,0.0,0.0,0,1,117,4475,1,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.01166,0.11979166666666667,0.19658119658119658,0.1488673139158576,23,169,94,4307,192,117,4593,1,1
mean_similarity,mean_similarity,mean_similarity <= threshold,0.028264,0.08616187989556136,0.28205128205128205,0.132,33,350,84,4126,383,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.05412,0.07304347826086957,0.358974358974359,0.12138728323699421,42,533,75,3943,575,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.077597,0.06005221932114883,0.39316239316239315,0.10419026047565118,46,720,71,3756,766,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.105528,0.050156739811912224,0.41025641025641024,0.0893854748603352,48,909,69,3567,957,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.129388,0.04525674499564839,0.4444444444444444,0.08214849921011058,52,1097,65,3379,1149,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.149393,0.041791044776119404,0.47863247863247865,0.07687028140013727,56,1284,61,3192,1340,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.169223,0.040496407576747225,0.5299145299145299,0.07524271844660195,62,1469,55,3007,1531,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.187416,0.036585365853658534,0.5384615384615384,0.06851549755301793,63,1659,54,2817,1722,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.20667,0.035527690700104496,0.5811965811965812,0.06696208764155588,68,1846,49,2630,1914,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.225358,0.03705463182897862,0.6666666666666666,0.0702070207020702,78,2027,39,2449,2105,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.242827,0.03614982578397213,0.7094017094017094,0.06879403232490676,83,2213,34,2263,2296,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.261,0.034967845659163985,0.7435897435897436,0.06679462571976967,87,2401,30,2075,2488,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.283143,0.03434117207913401,0.7863247863247863,0.06580829756795423,92,2587,25,1889,2679,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.304497,0.03343782654127482,0.8205128205128205,0.06425702811244981,96,2775,21,1701,2871,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.327314,0.032658393207054215,0.8547008547008547,0.06291286568103178,100,2962,17,1514,3062,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.357178,0.03166308023363049,0.8803418803418803,0.06112759643916913,103,3150,14,1326,3253,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.405128,0.03076923076923077,0.905982905982906,0.05951712521055587,106,3339,11,1137,3445,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.453814,0.0297029702970297,0.9230769230769231,0.05755395683453237,108,3528,9,948,3636,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.51314,0.02874314084139012,0.9401709401709402,0.05578093306288033,110,3717,7,759,3827,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.571384,0.027874564459930314,0.9572649572649573,0.054171704957678354,112,3906,5,570,4018,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.649362,0.02684085510688836,0.9658119658119658,0.052230182574532005,113,4097,4,379,4210,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.741879,0.026130424903431038,0.9829059829059829,0.05090748118636565,115,4286,2,190,4401,117,4593,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.963564,0.025473546701502287,1.0,0.04968152866242038,117,4476,0,0,4593,117,4593,0,0
