threshold,precision,recall,f1,true_positives,false_positives,false_negatives,true_negatives,predicted_count,gold_count,candidate_count
0,0.442231,0.046826,0.084684,444,560,9038,14866,1004,9482,24908
1,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
2,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
3,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
4,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
5,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
6,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
7,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
8,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
9,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
10,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
11,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
12,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
13,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
14,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
15,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
16,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
17,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
18,0.377230,0.046826,0.083310,444,733,9038,14693,1177,9482,24908
19,0.339709,0.046826,0.082306,444,863,9038,14563,1307,9482,24908
20,0.339709,0.046826,0.082306,444,863,9038,14563,1307,9482,24908
21,0.308333,0.046826,0.081304,444,996,9038,14430,1440,9482,24908
22,0.308333,0.046826,0.081304,444,996,9038,14430,1440,9482,24908
23,0.371336,0.084159,0.137219,798,1351,8684,14075,2149,9482,24908
24,0.371336,0.084159,0.137219,798,1351,8684,14075,2149,9482,24908
25,0.371336,0.084159,0.137219,798,1351,8684,14075,2149,9482,24908
26,0.333075,0.090487,0.142312,858,1718,8624,13708,2576,9482,24908
27,0.350963,0.097975,0.153187,929,1718,8553,13708,2647,9482,24908
28,0.350963,0.097975,0.153187,929,1718,8553,13708,2647,9482,24908
29,0.466652,0.228011,0.306341,2162,2471,7320,12955,4633,9482,24908
30,0.466652,0.228011,0.306341,2162,2471,7320,12955,4633,9482,24908
31,0.583851,0.386627,0.465199,3666,2613,5816,12813,6279,9482,24908
32,0.583851,0.386627,0.465199,3666,2613,5816,12813,6279,9482,24908
33,0.583851,0.386627,0.465199,3666,2613,5816,12813,6279,9482,24908
34,0.550736,0.433875,0.485370,4114,3356,5368,12070,7470,9482,24908
35,0.550736,0.433875,0.485370,4114,3356,5368,12070,7470,9482,24908
36,0.545262,0.433875,0.483233,4114,3431,5368,11995,7545,9482,24908
37,0.535767,0.462877,0.496662,4389,3803,5093,11623,8192,9482,24908
38,0.535767,0.462877,0.496662,4389,3803,5093,11623,8192,9482,24908
39,0.535767,0.462877,0.496662,4389,3803,5093,11623,8192,9482,24908
40,0.535767,0.462877,0.496662,4389,3803,5093,11623,8192,9482,24908
41,0.572537,0.614744,0.592890,5829,4352,3653,11074,10181,9482,24908
42,0.572537,0.614744,0.592890,5829,4352,3653,11074,10181,9482,24908
43,0.575124,0.621282,0.597313,5891,4352,3591,11074,10243,9482,24908
44,0.575124,0.621282,0.597313,5891,4352,3591,11074,10243,9482,24908
45,0.541348,0.634465,0.584219,6016,5097,3466,10329,11113,9482,24908
46,0.541348,0.634465,0.584219,6016,5097,3466,10329,11113,9482,24908
47,0.550065,0.666842,0.602851,6323,5172,3159,10254,11495,9482,24908
48,0.550065,0.666842,0.602851,6323,5172,3159,10254,11495,9482,24908
49,0.550065,0.666842,0.602851,6323,5172,3159,10254,11495,9482,24908
50,0.550065,0.666842,0.602851,6323,5172,3159,10254,11495,9482,24908
51,0.501441,0.679076,0.576894,6439,6402,3043,9024,12841,9482,24908
52,0.501441,0.679076,0.576894,6439,6402,3043,9024,12841,9482,24908
53,0.501441,0.679076,0.576894,6439,6402,3043,9024,12841,9482,24908
54,0.501441,0.679076,0.576894,6439,6402,3043,9024,12841,9482,24908
55,0.499186,0.679076,0.575399,6439,6460,3043,8966,12899,9482,24908
56,0.499186,0.679076,0.575399,6439,6460,3043,8966,12899,9482,24908
57,0.499186,0.679076,0.575399,6439,6460,3043,8966,12899,9482,24908
58,0.504922,0.730331,0.597060,6925,6790,2557,8636,13715,9482,24908
59,0.504922,0.730331,0.597060,6925,6790,2557,8636,13715,9482,24908
60,0.504922,0.730331,0.597060,6925,6790,2557,8636,13715,9482,24908
61,0.491344,0.730331,0.587462,6925,7169,2557,8257,14094,9482,24908
62,0.493464,0.736553,0.590988,6984,7169,2498,8257,14153,9482,24908
